Column1,sora,aya,text,tafseer,emlaey
705,5,37,يُرِيدُونَ أَن يَخۡرُجُواْ مِنَ ٱلنَّارِ وَمَا هُم بِخَٰرِجِينَ مِنۡهَاۖ وَلَهُمۡ عَذَابٞ مُّقِيمٞ,"يريدون الخروج من النار إذا دخلوها، وأنَّى لهم ذلك؟! فلن يخرجوا منها، ولهم فيها عذاب دائم.",يريدون ان يخرجوا من النار وما هم بخارجين منها ولهم عذاب مقيم
706,5,38,وَٱلسَّارِقُ وَٱلسَّارِقَةُ فَٱقۡطَعُوٓاْ أَيۡدِيَهُمَا جَزَآءَۢ بِمَا كَسَبَا نَكَٰلٗا مِّنَ ٱللَّهِۗ وَٱللَّهُ عَزِيزٌ حَكِيمٞ,"والسارق والسارقة فاقطعوا - أيها الحكام - اليد اليمنى لكل منهما مجازاة لهما وعقوبة من الله على ما ارتكباه من أخذ أموال الناس بغير حق، وترهيبًا لهما ولغيرهما، والله عزيز لا يغلبه شيء، حكيم في تقديره وتشريعه.",والسارق والسارقة فاقطعوا ايديهما جزاء بما كسبا نكالا من الله والله عزيز حكيم
707,5,39,فَمَن تَابَ مِنۢ بَعۡدِ ظُلۡمِهِۦ وَأَصۡلَحَ فَإِنَّ ٱللَّهَ يَتُوبُ عَلَيۡهِۚ إِنَّ ٱللَّهَ غَفُورٞ رَّحِيمٌ,"فمن تاب إلى الله من السرقة، وأصلح عمله، فإن الله يتوب عليه تفضُّلًا منه؛ ذلك أن الله غفور لذنوب من تاب من عباده، رحيم بهم، لكن لا يسقط عنهم الحد بالتوبة إذا وصل الأمر إلى الحكام.",فمن تاب من بعد ظلمه واصلح فان الله يتوب عليه ان الله غفور رحيم
708,5,40,أَلَمۡ تَعۡلَمۡ أَنَّ ٱللَّهَ لَهُۥ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ يُعَذِّبُ مَن يَشَآءُ وَيَغۡفِرُ لِمَن يَشَآءُۗ وَٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"لقد علمتَ - أيها الرسول - أن الله له ملك السماوات والأرض يتصرف فيهما بما يشاء، وأنه يعذب من يشاء بعدله، ويغفر لمن يشاء بفضله، إن الله على كل شيء قدير، لا يعجزه شيء.",الم تعلم ان الله له ملك السماوات والارض يعذب من يشاء ويغفر لمن يشاء والله على كل شيء قدير
709,5,41,۞يَـٰٓأَيُّهَا ٱلرَّسُولُ لَا يَحۡزُنكَ ٱلَّذِينَ يُسَٰرِعُونَ فِي ٱلۡكُفۡرِ مِنَ ٱلَّذِينَ قَالُوٓاْ ءَامَنَّا بِأَفۡوَٰهِهِمۡ وَلَمۡ تُؤۡمِن قُلُوبُهُمۡۛ وَمِنَ ٱلَّذِينَ هَادُواْۛ سَمَّـٰعُونَ لِلۡكَذِبِ سَمَّـٰعُونَ لِقَوۡمٍ ءَاخَرِينَ لَمۡ يَأۡتُوكَۖ يُحَرِّفُونَ ٱلۡكَلِمَ مِنۢ بَعۡدِ مَوَاضِعِهِۦۖ يَقُولُونَ إِنۡ أُوتِيتُمۡ هَٰذَا فَخُذُوهُ وَإِن لَّمۡ تُؤۡتَوۡهُ فَٱحۡذَرُواْۚ وَمَن يُرِدِ ٱللَّهُ فِتۡنَتَهُۥ فَلَن تَمۡلِكَ لَهُۥ مِنَ ٱللَّهِ شَيۡـًٔاۚ أُوْلَـٰٓئِكَ ٱلَّذِينَ لَمۡ يُرِدِ ٱللَّهُ أَن يُطَهِّرَ قُلُوبَهُمۡۚ لَهُمۡ فِي ٱلدُّنۡيَا خِزۡيٞۖ وَلَهُمۡ فِي ٱلۡأٓخِرَةِ عَذَابٌ عَظِيمٞ,"يا أيها الرسول، لا يحزنك الذين يسارعون في إظهار أعمال الكفر ليغيظوك من المنافقين الذين يُظْهِرُونَ الإيمان، ويبطنون الكفر. ولا يحزنك اليهود الذين يُصْغُون لكذب كبارهم ويقبلونه، مقلِّدين لزعمائهم الذين لم يأتوك إعراضًا منهم عنك، يُبَدِّلُونَ كلام الله في التوراة بما يوافق أهواءهم، يقولون لأتباعهم: إن وافق حكم محمد أهواءكم فاتبعوه، وإن خالفها فاحذروا منه، ومن يرد الله إضلاله من الناس فلن تجد - أيها الرسول - من يدفع عنه الضلال ويهديه إلى سبيل الحق، أولئك المتصفون بهذه الصفات من اليهود والمنافقين هم الذين لم يرد الله تطهير قلوبهم من الكفر، لهم في الدنيا خزي وعار، ولهم في الآخرة عذاب عظيم، وهو عذاب النار.",يا ايها الرسول لا يحزنك الذين يسارعون في الكفر من الذين قالوا امنا بافواههم ولم تؤمن قلوبهم ومن الذين هادوا سماعون للكذب سماعون لقوم اخرين لم ياتوك يحرفون الكلم من بعد مواضعه يقولون ان اوتيتم هذا فخذوه وان لم تؤتوه فاحذروا ومن يرد الله فتنته فلن تملك له من الله شيئا اولئك الذين لم يرد الله ان يطهر قلوبهم لهم في الدنيا خزي ولهم في الاخرة عذاب عظيم
710,5,42,سَمَّـٰعُونَ لِلۡكَذِبِ أَكَّـٰلُونَ لِلسُّحۡتِۚ فَإِن جَآءُوكَ فَٱحۡكُم بَيۡنَهُمۡ أَوۡ أَعۡرِضۡ عَنۡهُمۡۖ وَإِن تُعۡرِضۡ عَنۡهُمۡ فَلَن يَضُرُّوكَ شَيۡـٔٗاۖ وَإِنۡ حَكَمۡتَ فَٱحۡكُم بَيۡنَهُم بِٱلۡقِسۡطِۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلۡمُقۡسِطِينَ,"هؤلاء اليهود كثيرو الاستماع للكذب، كثيرو الأكل للمال الحرام كالربا، فإن تحاكموا إليك - أيها الرسول - فافصل بينهم إن شئت، أو اترك الفصل بينهم إن شئت، فأنت مُخيَّر بين الأمرين، وإن تركت الفصل بينهم فلن يستطيعوا أن يضروك بشيء، وإن فصلت بينهم فافصل بينهم بالعدل، وإن كانوا ظَلَمة وأعداء، إن الله يحب العادلين في حكمهم، ولو كان المتحاكمون أعداء للحاكم.",سماعون للكذب اكالون للسحت فان جاءوك فاحكم بينهم او اعرض عنهم وان تعرض عنهم فلن يضروك شيئا وان حكمت فاحكم بينهم بالقسط ان الله يحب المقسطين
711,5,43,وَكَيۡفَ يُحَكِّمُونَكَ وَعِندَهُمُ ٱلتَّوۡرَىٰةُ فِيهَا حُكۡمُ ٱللَّهِ ثُمَّ يَتَوَلَّوۡنَ مِنۢ بَعۡدِ ذَٰلِكَۚ وَمَآ أُوْلَـٰٓئِكَ بِٱلۡمُؤۡمِنِينَ,"وإِنَّ أَمْرَ هؤلاء لعجب، فهم يكفرون بك، ويتحاكمون إليك طمعًا في حكمك بما يوافق أهواءهم، وهم عندهم التوراة التي يزعمون الإيمان بها، فيها حكم الله، ثم يعرضون عن حكمك إذا لم يوافق أهواءهم، فجمعوا بين الكفر بما في كتابهم، والإعراض عن حكمك، وما صنيع هؤلاء بصنيع المؤمنين، فليسوا إذن من المؤمنين بك وبما جئت به.",وكيف يحكمونك وعندهم التوراة فيها حكم الله ثم يتولون من بعد ذلك وما اولئك بالمؤمنين
712,5,44,إِنَّآ أَنزَلۡنَا ٱلتَّوۡرَىٰةَ فِيهَا هُدٗى وَنُورٞۚ يَحۡكُمُ بِهَا ٱلنَّبِيُّونَ ٱلَّذِينَ أَسۡلَمُواْ لِلَّذِينَ هَادُواْ وَٱلرَّبَّـٰنِيُّونَ وَٱلۡأَحۡبَارُ بِمَا ٱسۡتُحۡفِظُواْ مِن كِتَٰبِ ٱللَّهِ وَكَانُواْ عَلَيۡهِ شُهَدَآءَۚ فَلَا تَخۡشَوُاْ ٱلنَّاسَ وَٱخۡشَوۡنِ وَلَا تَشۡتَرُواْ بِـَٔايَٰتِي ثَمَنٗا قَلِيلٗاۚ وَمَن لَّمۡ يَحۡكُم بِمَآ أَنزَلَ ٱللَّهُ فَأُوْلَـٰٓئِكَ هُمُ ٱلۡكَٰفِرُونَ,"إنا أنزلنا التوراة على موسى عليه السلام، فيها إرشاد ودلالة على الخير، ونور يُسْتضاء به، يحكم بها أنبياء بني إسرائيل الذين انقادوا لله بالطاعة، ويحكم بها العلماء والفقهاء الذين يُرَبُّونَ الناس لما استحفظهم الله على كتابه، وجعلهم أمناء عليه يحفظونه من التحريف والتبديل، وهم شهداء عليه بأنه حق، وإليهم يرجع الناس في أمره، فلا تخافوا - أيها اليهود - الناس وخافوني وحدي، ولا تأخذوا بدلًا من الحكم بما أنزل الله ثمنًا قليلًا من رئاسة أو جاه أو مال، ومن لم يحكم بما أنزل الله من الوحي مستحلًّا ذلك، أو مفضِّلًا عليه غيره، أو مساويًا له معه فأولئك هم الكافرون حقًّا.",انا انزلنا التوراة فيها هدى ونور يحكم بها النبيون الذين اسلموا للذين هادوا والربانيون والاحبار بما استحفظوا من كتاب الله وكانوا عليه شهداء فلا تخشوا الناس واخشون ولا تشتروا باياتي ثمنا قليلا ومن لم يحكم بما انزل الله فاولئك هم الكافرون
713,5,45,وَكَتَبۡنَا عَلَيۡهِمۡ فِيهَآ أَنَّ ٱلنَّفۡسَ بِٱلنَّفۡسِ وَٱلۡعَيۡنَ بِٱلۡعَيۡنِ وَٱلۡأَنفَ بِٱلۡأَنفِ وَٱلۡأُذُنَ بِٱلۡأُذُنِ وَٱلسِّنَّ بِٱلسِّنِّ وَٱلۡجُرُوحَ قِصَاصٞۚ فَمَن تَصَدَّقَ بِهِۦ فَهُوَ كَفَّارَةٞ لَّهُۥۚ وَمَن لَّمۡ يَحۡكُم بِمَآ أَنزَلَ ٱللَّهُ فَأُوْلَـٰٓئِكَ هُمُ ٱلظَّـٰلِمُونَ,"وفرضنا على اليهود في التوراة أنَّ من قتل نفسًا متَعمِّدًا بغير حق قُتِلَ بها، ومن قلع عينًا متَعمِّدًا قُلِعَتْ عينه، ومن جدع أنفًا متَعمِّدًا جُدِعَ أنفه، ومن قطع أذنًا متَعمِّدًا قُطِعَتْ أذنه، ومن قلع سنًّا متَعمِّدًا قُلِعَتْ سنُّه، وكتبنا عليهم أن في الجروح يُعاقَب الجاني بمثل جنايته، ومن تطوع بالعفو عن الجاني كان عفوه كفارة لذنوبه؛ لعفوه عمن ظلمه، ومن لم يحكم بما أنزل الله في شأن القصاص وفي شأن غيره، فهو متجاوز لحدود الله.",وكتبنا عليهم فيها ان النفس بالنفس والعين بالعين والانف بالانف والاذن بالاذن والسن بالسن والجروح قصاص فمن تصدق به فهو كفارة له ومن لم يحكم بما انزل الله فاولئك هم الظالمون
714,5,46,وَقَفَّيۡنَا عَلَىٰٓ ءَاثَٰرِهِم بِعِيسَى ٱبۡنِ مَرۡيَمَ مُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ مِنَ ٱلتَّوۡرَىٰةِۖ وَءَاتَيۡنَٰهُ ٱلۡإِنجِيلَ فِيهِ هُدٗى وَنُورٞ وَمُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ مِنَ ٱلتَّوۡرَىٰةِ وَهُدٗى وَمَوۡعِظَةٗ لِّلۡمُتَّقِينَ,"وأتبعنا آثار أنبياء بني إسرائيل بعيسى بن مريم مؤمنًا بما في التوراة، وحاكمًا بها، وأعطيناه الإنجيل مشتملًا على الهداية للحق، وعلى ما يزيل الشبهات من الحجج، ويحل المشكلات من الأحكام، وموافقًا لما نزل من قبله من التوراة إلا في القليل مما نسخه من أحكامها، وجعلنا الإنجيل هدًى يَهْتدي به المتقون، وزاجرًا عن ارتكاب ما حرمه عليهم.",وقفينا على اثارهم بعيسى ابن مريم مصدقا لما بين يديه من التوراة واتيناه الانجيل فيه هدى ونور ومصدقا لما بين يديه من التوراة وهدى وموعظة للمتقين
715,5,47,وَلۡيَحۡكُمۡ أَهۡلُ ٱلۡإِنجِيلِ بِمَآ أَنزَلَ ٱللَّهُ فِيهِۚ وَمَن لَّمۡ يَحۡكُم بِمَآ أَنزَلَ ٱللَّهُ فَأُوْلَـٰٓئِكَ هُمُ ٱلۡفَٰسِقُونَ,"ولْيؤمِنِ النصارى بما أنزل الله في الإنجيل، وليحكموا به - فيما جاء به من صدق قبل بعثة محمد صلى الله عليه وسلم إليهم-، ومن لم يحكم بما أنزل الله فأولئك هم الخارجون عن طاعة الله، التاركون للحق، المائلون إلى الباطل.",وليحكم اهل الانجيل بما انزل الله فيه ومن لم يحكم بما انزل الله فاولئك هم الفاسقون
716,5,48,وَأَنزَلۡنَآ إِلَيۡكَ ٱلۡكِتَٰبَ بِٱلۡحَقِّ مُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ مِنَ ٱلۡكِتَٰبِ وَمُهَيۡمِنًا عَلَيۡهِۖ فَٱحۡكُم بَيۡنَهُم بِمَآ أَنزَلَ ٱللَّهُۖ وَلَا تَتَّبِعۡ أَهۡوَآءَهُمۡ عَمَّا جَآءَكَ مِنَ ٱلۡحَقِّۚ لِكُلّٖ جَعَلۡنَا مِنكُمۡ شِرۡعَةٗ وَمِنۡهَاجٗاۚ وَلَوۡ شَآءَ ٱللَّهُ لَجَعَلَكُمۡ أُمَّةٗ وَٰحِدَةٗ وَلَٰكِن لِّيَبۡلُوَكُمۡ فِي مَآ ءَاتَىٰكُمۡۖ فَٱسۡتَبِقُواْ ٱلۡخَيۡرَٰتِۚ إِلَى ٱللَّهِ مَرۡجِعُكُمۡ جَمِيعٗا فَيُنَبِّئُكُم بِمَا كُنتُمۡ فِيهِ تَخۡتَلِفُونَ,"وأنزلنا إليك - أيها الرسول - القرآن بالصدق الذي لا شك ولا ريب أنه من عند الله، مصدقًا لما سبقه من الكتب المنزلة، ومؤتَمَنًا عليها، فما وافقه منها فهو حق، وما خالفه فهو باطل، فاحكم بين الناس بما أنزل الله عليك فيه، ولا تتبع أهواءهم التي أخذوا بها، تاركًا ما أنزل عليك من الحق الذي لا شك فيه، وقد جعلنا لكل أمة شريعة من الأحكام العملية وطريقة واضحة يهتدون بها، ولو شاء الله توحيد الشرائع لوحَّدها، ولكنه جعل لكل أمة شريعة؛ ليختبر الجميع فيظهر المطيع من العاصي، فسارعوا إلى فعل الخيرات وترك المنكرات، فإلى الله وحده رجوعكم يوم القيامة، وسينبئكم بما كنتم تختلفون فيه، وسيجازيكم على ما قدمتم من أعمال.",وانزلنا اليك الكتاب بالحق مصدقا لما بين يديه من الكتاب ومهيمنا عليه فاحكم بينهم بما انزل الله ولا تتبع اهواءهم عما جاءك من الحق لكل جعلنا منكم شرعة ومنهاجا ولو شاء الله لجعلكم امة واحدة ولكن ليبلوكم في ما اتاكم فاستبقوا الخيرات الى الله مرجعكم جميعا فينبئكم بما كنتم فيه تختلفون
717,5,49,وَأَنِ ٱحۡكُم بَيۡنَهُم بِمَآ أَنزَلَ ٱللَّهُ وَلَا تَتَّبِعۡ أَهۡوَآءَهُمۡ وَٱحۡذَرۡهُمۡ أَن يَفۡتِنُوكَ عَنۢ بَعۡضِ مَآ أَنزَلَ ٱللَّهُ إِلَيۡكَۖ فَإِن تَوَلَّوۡاْ فَٱعۡلَمۡ أَنَّمَا يُرِيدُ ٱللَّهُ أَن يُصِيبَهُم بِبَعۡضِ ذُنُوبِهِمۡۗ وَإِنَّ كَثِيرٗا مِّنَ ٱلنَّاسِ لَفَٰسِقُونَ,"وأن احكم بينهم - أيها الرسول - بما أنزل الله إليك، ولا تتبع آراءهم النابعة من اتباع الهوى، واحذرهم أن يضلوك عن بعض ما أنزل الله عليك، فلن يألوا جهدًا في سبيل ذلك، فإن أعرضوا عن قبول الحكم بما أنزل الله إليك فاعلم أنما يريد الله أن يعاقبهم ببعض ذنوبهم عقوبة دنيوية، ويعاقبهم على جميعها في الآخرة، وإن كثيرًا من الناس لخارجون عن طاعة الله.",وان احكم بينهم بما انزل الله ولا تتبع اهواءهم واحذرهم ان يفتنوك عن بعض ما انزل الله اليك فان تولوا فاعلم انما يريد الله ان يصيبهم ببعض ذنوبهم وان كثيرا من الناس لفاسقون
718,5,50,أَفَحُكۡمَ ٱلۡجَٰهِلِيَّةِ يَبۡغُونَۚ وَمَنۡ أَحۡسَنُ مِنَ ٱللَّهِ حُكۡمٗا لِّقَوۡمٖ يُوقِنُونَ,"أَيُعْرضون عن حكمك طالبين حكم أهل الجاهلية من عبدة الأوثان الذين يحكمون تبعًا لأهوائهم؟! فلا أحد أحسن حكمًا من الله عند أهل اليقين الذين يعقلون عن الله ما أنزل على رسوله، لا أهل الجهل والأهواء الذين لا يقبلون إلا ما يوافق أهواءهم وإن كان باطلًا.",افحكم الجاهلية يبغون ومن احسن من الله حكما لقوم يوقنون
719,5,51,۞يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تَتَّخِذُواْ ٱلۡيَهُودَ وَٱلنَّصَٰرَىٰٓ أَوۡلِيَآءَۘ بَعۡضُهُمۡ أَوۡلِيَآءُ بَعۡضٖۚ وَمَن يَتَوَلَّهُم مِّنكُمۡ فَإِنَّهُۥ مِنۡهُمۡۗ إِنَّ ٱللَّهَ لَا يَهۡدِي ٱلۡقَوۡمَ ٱلظَّـٰلِمِينَ,"يا أيها الذين آمنوا بالله وبرسوله، لا تجعلوا من اليهود والنصارى حلفاء وأصفياء توالونهم، فاليهود إنما يوالون أهل ملَّتهم، والنصارى إنما يوالون أهل ملَّتهم، وكِلا الفريقين تجمعهم معاداتكم، ومن يتولهم منكم فإنه في عِدادهم، إن الله لا يهدي القوم الظالمين بسبب موالاتهم للكفار.",يا ايها الذين امنوا لا تتخذوا اليهود والنصارى اولياء بعضهم اولياء بعض ومن يتولهم منكم فانه منهم ان الله لا يهدي القوم الظالمين
720,5,52,فَتَرَى ٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٞ يُسَٰرِعُونَ فِيهِمۡ يَقُولُونَ نَخۡشَىٰٓ أَن تُصِيبَنَا دَآئِرَةٞۚ فَعَسَى ٱللَّهُ أَن يَأۡتِيَ بِٱلۡفَتۡحِ أَوۡ أَمۡرٖ مِّنۡ عِندِهِۦ فَيُصۡبِحُواْ عَلَىٰ مَآ أَسَرُّواْ فِيٓ أَنفُسِهِمۡ نَٰدِمِينَ,"فترى - أيها الرسول - المنافقين ضعفاء الإيمان يبادرون إلى موالاة اليهود والنصارى قائلين: نخاف أن يظفر هؤلاء، وتكون لهم الدولة فينالنا منهم مكروه، فلعل الله يجعل الظفر لرسوله وللمؤمنين، أو يأتي بأمر من عنده تندفع به صَوْلة اليهود ومن يواليهم، فيصبح المسارعون إلى موالاتهم نادمين على ما أخفوه من النفاق في قلوبهم؛ لبطلان ما تعلقوا به من أسباب واهية.",فترى الذين في قلوبهم مرض يسارعون فيهم يقولون نخشى ان تصيبنا دائرة فعسى الله ان ياتي بالفتح او امر من عنده فيصبحوا على ما اسروا في انفسهم نادمين
721,5,53,وَيَقُولُ ٱلَّذِينَ ءَامَنُوٓاْ أَهَـٰٓؤُلَآءِ ٱلَّذِينَ أَقۡسَمُواْ بِٱللَّهِ جَهۡدَ أَيۡمَٰنِهِمۡ إِنَّهُمۡ لَمَعَكُمۡۚ حَبِطَتۡ أَعۡمَٰلُهُمۡ فَأَصۡبَحُواْ خَٰسِرِينَ,"ويقول المؤمنون متعجبين من حال هؤلاء المنافقين: أهؤلاء الذين حلفوا مؤكدين أيمانهم: إنهم لمعكم - أيها المؤمنون - في الإيمان والنصرة والموالاة؟! بطلت أعمالهم، فأصبحوا خاسرين بفوات مقصودهم، وما أعد لهم من عذاب.",ويقول الذين امنوا اهؤلاء الذين اقسموا بالله جهد ايمانهم انهم لمعكم حبطت اعمالهم فاصبحوا خاسرين
722,5,54,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ مَن يَرۡتَدَّ مِنكُمۡ عَن دِينِهِۦ فَسَوۡفَ يَأۡتِي ٱللَّهُ بِقَوۡمٖ يُحِبُّهُمۡ وَيُحِبُّونَهُۥٓ أَذِلَّةٍ عَلَى ٱلۡمُؤۡمِنِينَ أَعِزَّةٍ عَلَى ٱلۡكَٰفِرِينَ يُجَٰهِدُونَ فِي سَبِيلِ ٱللَّهِ وَلَا يَخَافُونَ لَوۡمَةَ لَآئِمٖۚ ذَٰلِكَ فَضۡلُ ٱللَّهِ يُؤۡتِيهِ مَن يَشَآءُۚ وَٱللَّهُ وَٰسِعٌ عَلِيمٌ,"يا أيها الذين آمنوا، من يرجع منكم عن دينه إلى الكفر فسوف يأتي الله بقوم بدلًا منهم يحبهم ويحبونه لاستقامتهم، رحماء بالمؤمنين أشداء على الكافرين، يجاهدون بأموالهم وأنفسهم لتكون كلمة الله هي العليا، ولا يخشون تعنيف من يعنفهم؛ لتقديمهم رضا الله على رضا المخلوقين، ذلك من عطاء الله الذي يعطيه من يشاء من عباده، والله واسع الفضل والإحسان، عليم بمن يستحق فضله فيمنحه إياه، ومن لا يستحقه فيحرمه.",يا ايها الذين امنوا من يرتد منكم عن دينه فسوف ياتي الله بقوم يحبهم ويحبونه اذلة على المؤمنين اعزة على الكافرين يجاهدون في سبيل الله ولا يخافون لومة لائم ذلك فضل الله يؤتيه من يشاء والله واسع عليم
723,5,55,إِنَّمَا وَلِيُّكُمُ ٱللَّهُ وَرَسُولُهُۥ وَٱلَّذِينَ ءَامَنُواْ ٱلَّذِينَ يُقِيمُونَ ٱلصَّلَوٰةَ وَيُؤۡتُونَ ٱلزَّكَوٰةَ وَهُمۡ رَٰكِعُونَ,"ليس اليهود ولا النصارى ولا غيرهم من الكفار، أولياءكم، بل إنَّ وليكم وناصركم الله ورسوله، والمؤمنون الذين يؤدون الصلاة كاملة، ويعطون زكاة أموالهم وهم خاضعون لله أذلاء.",انما وليكم الله ورسوله والذين امنوا الذين يقيمون الصلاة ويؤتون الزكاة وهم راكعون
724,5,56,وَمَن يَتَوَلَّ ٱللَّهَ وَرَسُولَهُۥ وَٱلَّذِينَ ءَامَنُواْ فَإِنَّ حِزۡبَ ٱللَّهِ هُمُ ٱلۡغَٰلِبُونَ,"ومن يَتَوَلَّ الله ورسوله والمؤمنين بالنصرة فهو من حزب الله، وحزب الله هم الغالبون؛ لأن الله ناصرهم.",ومن يتول الله ورسوله والذين امنوا فان حزب الله هم الغالبون
725,5,57,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تَتَّخِذُواْ ٱلَّذِينَ ٱتَّخَذُواْ دِينَكُمۡ هُزُوٗا وَلَعِبٗا مِّنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ مِن قَبۡلِكُمۡ وَٱلۡكُفَّارَ أَوۡلِيَآءَۚ وَٱتَّقُواْ ٱللَّهَ إِن كُنتُم مُّؤۡمِنِينَ,"يا أيها الذين آمنوا، لا تتخذوا الذين يسخرون من دينكم، ويتلاعبون به من الذين أُعْطُوا الكتاب من قبلكم من اليهود والنصارى والمشركين حلفاء وأصفياء، واتقوا الله باجتناب ما نهاكم عنه من موالاتهم إن كنتم مؤمنين به، وبما أنزله عليكم.",يا ايها الذين امنوا لا تتخذوا الذين اتخذوا دينكم هزوا ولعبا من الذين اوتوا الكتاب من قبلكم والكفار اولياء واتقوا الله ان كنتم مؤمنين
726,5,58,وَإِذَا نَادَيۡتُمۡ إِلَى ٱلصَّلَوٰةِ ٱتَّخَذُوهَا هُزُوٗا وَلَعِبٗاۚ ذَٰلِكَ بِأَنَّهُمۡ قَوۡمٞ لَّا يَعۡقِلُونَ,"وكذلك يسخرون ويلعبون إذا أَذَّنْتُم للصلاة التي هي أعظم قربة، ذلك بسبب أنهم قوم لا يعقلون عن الله معاني عبادته وشرائعه التي شرعها للناس.",واذا ناديتم الى الصلاة اتخذوها هزوا ولعبا ذلك بانهم قوم لا يعقلون
727,5,59,قُلۡ يَـٰٓأَهۡلَ ٱلۡكِتَٰبِ هَلۡ تَنقِمُونَ مِنَّآ إِلَّآ أَنۡ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ إِلَيۡنَا وَمَآ أُنزِلَ مِن قَبۡلُ وَأَنَّ أَكۡثَرَكُمۡ فَٰسِقُونَ,"قل - أيها الرسول - للمستهزئين من أهل الكتاب: هل تعيبون علينا إلا إيماننا بالله وبما أنزل إلينا، وبما أنزل على من قبلنا، وإيمانَنَا أن أكثركم خارجون عن طاعة الله بتركهم للإيمان وامتثال الأوامر؟! فما تعيبونه علينا مَحْمَدَةٌ لنا، وليس مَذَمَّةً.",قل يا اهل الكتاب هل تنقمون منا الا ان امنا بالله وما انزل الينا وما انزل من قبل وان اكثركم فاسقون
728,5,60,قُلۡ هَلۡ أُنَبِّئُكُم بِشَرّٖ مِّن ذَٰلِكَ مَثُوبَةً عِندَ ٱللَّهِۚ مَن لَّعَنَهُ ٱللَّهُ وَغَضِبَ عَلَيۡهِ وَجَعَلَ مِنۡهُمُ ٱلۡقِرَدَةَ وَٱلۡخَنَازِيرَ وَعَبَدَ ٱلطَّـٰغُوتَۚ أُوْلَـٰٓئِكَ شَرّٞ مَّكَانٗا وَأَضَلُّ عَن سَوَآءِ ٱلسَّبِيلِ,"قل - أيها الرسول -: هل أخبركم بمن هم أولى بالعيب، وأشد عقابًا من هؤلاء، إنهم أسلافهم الذين طردهم الله من رحمته، وغضب عليهم، وصيَّرهم بعد المسخ قردة وخنازير، وجعل منهم عُبَّادًا للطاغوت، والطاغوت هو كل من يُعْبد من دون الله راضيًا، أولئك المذكورون شر منزلة يوم القيامة، وأضل سعيًا عن الطريق المستقيم.",قل هل انبئكم بشر من ذلك مثوبة عند الله من لعنه الله وغضب عليه وجعل منهم القردة والخنازير وعبد الطاغوت اولئك شر مكانا واضل عن سواء السبيل
729,5,61,وَإِذَا جَآءُوكُمۡ قَالُوٓاْ ءَامَنَّا وَقَد دَّخَلُواْ بِٱلۡكُفۡرِ وَهُمۡ قَدۡ خَرَجُواْ بِهِۦۚ وَٱللَّهُ أَعۡلَمُ بِمَا كَانُواْ يَكۡتُمُونَ,"وإذا جاءكم - أيها المؤمنون - المنافقون منهم أظهروا لكم الإيمان نفاقًا منهم، والواقع أنهم عند دخولهم وخروجهم مُتلبِّسون بالكفر لا ينفكون عنه، والله أعلم بما يُضْمرونه من الكفر إن أظهروا الإيمان لكم، وسيجازيهم على ذلك.",واذا جاءوكم قالوا امنا وقد دخلوا بالكفر وهم قد خرجوا به والله اعلم بما كانوا يكتمون
730,5,62,وَتَرَىٰ كَثِيرٗا مِّنۡهُمۡ يُسَٰرِعُونَ فِي ٱلۡإِثۡمِ وَٱلۡعُدۡوَٰنِ وَأَكۡلِهِمُ ٱلسُّحۡتَۚ لَبِئۡسَ مَا كَانُواْ يَعۡمَلُونَ,"وترى - أيها الرسول - كثيرًا من اليهود والمنافقين يُبادرون إلى ارتكاب المعاصي مثل الكذب والاعتداء على الآخرين بظلمهم وأكل أموال الناس بالحرام، ساء ما يعملون.",وترى كثيرا منهم يسارعون في الاثم والعدوان واكلهم السحت لبئس ما كانوا يعملون
731,5,63,لَوۡلَا يَنۡهَىٰهُمُ ٱلرَّبَّـٰنِيُّونَ وَٱلۡأَحۡبَارُ عَن قَوۡلِهِمُ ٱلۡإِثۡمَ وَأَكۡلِهِمُ ٱلسُّحۡتَۚ لَبِئۡسَ مَا كَانُواْ يَصۡنَعُونَ,"هلَّا يزجرهم أئمتهم وعلماؤهم عما يسارعون إليه من قول الكذب وشهادة الزور وأكل أموال الناس بالباطل، لقد ساء صنيع أئمتهم وعلمائهم الذين لا ينهونهم عن المنكر.",لولا ينهاهم الربانيون والاحبار عن قولهم الاثم واكلهم السحت لبئس ما كانوا يصنعون
